,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
91,58,3,7927,1606757171000,1927,4673,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
92,101,3,7897,1608000681000,1897,4703,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
93,120,3,7841,1604020599000,1841,4759,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
94,13,3,7624,1607887361000,1624,4976,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
95,62,3,7519,1605122285000,1519,5081,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
96,53,3,7136,1599411474000,1136,5464,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
97,122,3,7122,1530643191000,1122,5478,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
98,28,3,6980,1603831123000,980,5620,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
99,497,3,6975,1569814204000,975,5625,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
100,82,3,6868,1609777025000,868,5732,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
101,133,3,6683,1603312733000,683,5917,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
102,61,3,6392,1613327829000,392,6208,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
103,20,3,6049,1527310820000,49,6551,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
104,254,2,5894,1485756172000,4094,106,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
105,115,2,5822,1605499292000,4022,178,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
106,150,2,5732,1603929885000,3932,268,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
107,2,2,5681,1490174879000,3881,319,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
108,18,2,5639,1609788135000,3839,361,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
109,68,2,5593,1565389925000,3793,407,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
110,99,2,5593,1613313058000,3793,407,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
111,4,2,5576,1605491402000,3776,424,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
112,83,2,5285,1612741652000,3485,715,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
113,79,2,5113,1599405317000,3313,887,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
114,119,2,5070,1579230941000,3270,930,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
115,127,2,4742,1606871686000,2942,1258,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
116,69,2,4711,1584056038000,2911,1289,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
117,80,2,4557,1576990892000,2757,1443,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
118,103,2,4484,1596472429000,2684,1516,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
119,19,2,4258,1518464744000,2458,1742,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
120,102,2,4134,1589161941000,2334,1866,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
121,136,2,3966,1607130591000,2166,2034,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
122,1,2,3857,1592582999000,2057,2143,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
123,360,2,3678,1606869804000,1878,2322,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
124,267,2,3482,1581107048000,1682,2518,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
125,32,2,3410,1472670778000,1610,2590,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
126,350,2,3052,1605535641000,1252,2948,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
127,78,2,2965,1605443878000,1165,3035,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
128,112,2,2930,1607375702000,1130,3070,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
129,875,2,2799,1601584368000,999,3201,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
130,72,2,2759,1530993003000,959,3241,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
131,223,2,2523,1527956496000,723,3477,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
